,id,sub_cls,img,sub_cls2,label
0,4176075327,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4176075327.jpg,nature,0
1,7567719470,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7567719470.jpg,nature,0
2,1502768903,people,/data2/wangjinhong/data/ord_reg/aesthetics/1502768903.jpg,people,0
3,11060554,urban,/data2/wangjinhong/data/ord_reg/aesthetics/11060554.jpg,urban,0
4,6937327822,people,/data2/wangjinhong/data/ord_reg/aesthetics/6937327822.jpg,people,0
5,2788214851,people,/data2/wangjinhong/data/ord_reg/aesthetics/2788214851.jpg,people,0
6,8500669559,nature,/data2/wangjinhong/data/ord_reg/aesthetics/8500669559.jpg,nature,0
7,8163928337,people,/data2/wangjinhong/data/ord_reg/aesthetics/8163928337.jpg,people,0
8,2309149765,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2309149765.jpg,animals,0
9,2698240918,people,/data2/wangjinhong/data/ord_reg/aesthetics/2698240918.jpg,people,0
10,2334685730,people,/data2/wangjinhong/data/ord_reg/aesthetics/2334685730.jpg,people,0
11,5395876058,people,/data2/wangjinhong/data/ord_reg/aesthetics/5395876058.jpg,people,0
12,582578106,urban,/data2/wangjinhong/data/ord_reg/aesthetics/582578106.jpg,urban,0
13,61873036,animals,/data2/wangjinhong/data/ord_reg/aesthetics/61873036.jpg,animals,0
14,2342422428,people,/data2/wangjinhong/data/ord_reg/aesthetics/2342422428.jpg,people,0
15,281445640,animals,/data2/wangjinhong/data/ord_reg/aesthetics/281445640.jpg,animals,0
16,6990135829,people,/data2/wangjinhong/data/ord_reg/aesthetics/6990135829.jpg,people,0
17,5889370198,people,/data2/wangjinhong/data/ord_reg/aesthetics/5889370198.jpg,people,0
18,6400279067,people,/data2/wangjinhong/data/ord_reg/aesthetics/6400279067.jpg,people,0
19,6959318403,animals,/data2/wangjinhong/data/ord_reg/aesthetics/6959318403.jpg,animals,0
20,2058997376,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2058997376.jpg,animals,0
21,5355927666,animals,/data2/wangjinhong/data/ord_reg/aesthetics/5355927666.jpg,animals,0
22,4303123230,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4303123230.jpg,urban,0
23,3235173967,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3235173967.jpg,animals,0
24,6129879012,people,/data2/wangjinhong/data/ord_reg/aesthetics/6129879012.jpg,people,0
25,178446716,people,/data2/wangjinhong/data/ord_reg/aesthetics/178446716.jpg,people,0
26,3235177007,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3235177007.jpg,animals,0
27,8145361342,nature,/data2/wangjinhong/data/ord_reg/aesthetics/8145361342.jpg,nature,0
28,6195832079,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6195832079.jpg,nature,0
29,2427778046,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2427778046.jpg,nature,0
30,6811194858,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6811194858.jpg,urban,0
31,1367863371,people,/data2/wangjinhong/data/ord_reg/aesthetics/1367863371.jpg,people,0
32,4176163264,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4176163264.jpg,nature,0
33,250898146,animals,/data2/wangjinhong/data/ord_reg/aesthetics/250898146.jpg,animals,0
34,4276124505,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4276124505.jpg,nature,0
35,8013789381,people,/data2/wangjinhong/data/ord_reg/aesthetics/8013789381.jpg,people,0
36,3071361440,people,/data2/wangjinhong/data/ord_reg/aesthetics/3071361440.jpg,people,0
37,6828963811,people,/data2/wangjinhong/data/ord_reg/aesthetics/6828963811.jpg,people,0
38,346483297,urban,/data2/wangjinhong/data/ord_reg/aesthetics/346483297.jpg,urban,0
39,2109353353,people,/data2/wangjinhong/data/ord_reg/aesthetics/2109353353.jpg,people,0
40,6002679890,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6002679890.jpg,urban,0
41,7686697742,people,/data2/wangjinhong/data/ord_reg/aesthetics/7686697742.jpg,people,0
42,3542675701,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3542675701.jpg,nature,0
43,20580799,animals,/data2/wangjinhong/data/ord_reg/aesthetics/20580799.jpg,animals,0
44,3268663586,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3268663586.jpg,nature,0
45,7352077622,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7352077622.jpg,nature,0
46,8071808491,people,/data2/wangjinhong/data/ord_reg/aesthetics/8071808491.jpg,people,0
47,7059528975,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7059528975.jpg,nature,0
48,2080046687,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2080046687.jpg,nature,0
49,2943385606,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2943385606.jpg,animals,0
50,3139290355,people,/data2/wangjinhong/data/ord_reg/aesthetics/3139290355.jpg,people,0
51,3475579719,people,/data2/wangjinhong/data/ord_reg/aesthetics/3475579719.jpg,people,0
52,2846880374,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2846880374.jpg,animals,0
53,2451321421,people,/data2/wangjinhong/data/ord_reg/aesthetics/2451321421.jpg,people,0
54,7005820027,people,/data2/wangjinhong/data/ord_reg/aesthetics/7005820027.jpg,people,0
55,7952194862,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7952194862.jpg,nature,0
56,3361232942,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3361232942.jpg,animals,0
57,2141562990,people,/data2/wangjinhong/data/ord_reg/aesthetics/2141562990.jpg,people,0
58,4267741166,people,/data2/wangjinhong/data/ord_reg/aesthetics/4267741166.jpg,people,0
59,3120128855,people,/data2/wangjinhong/data/ord_reg/aesthetics/3120128855.jpg,people,0
