,id,sub_cls,img,sub_cls,label
0,7934644002,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7934644002.jpg,nature,0
1,2831778165,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2831778165.jpg,nature,0
2,250898146,animals,/data2/wangjinhong/data/ord_reg/aesthetics/250898146.jpg,animals,0
3,6855863116,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6855863116.jpg,nature,0
4,6626209577,people,/data2/wangjinhong/data/ord_reg/aesthetics/6626209577.jpg,people,0
5,441566468,nature,/data2/wangjinhong/data/ord_reg/aesthetics/441566468.jpg,nature,0
6,3235173967,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3235173967.jpg,animals,0
7,4362765438,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4362765438.jpg,urban,0
8,4219684694,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4219684694.jpg,nature,0
9,99076815,people,/data2/wangjinhong/data/ord_reg/aesthetics/99076815.jpg,people,0
10,3874644525,urban,/data2/wangjinhong/data/ord_reg/aesthetics/3874644525.jpg,urban,0
11,5240717906,nature,/data2/wangjinhong/data/ord_reg/aesthetics/5240717906.jpg,nature,0
12,4267243742,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4267243742.jpg,nature,0
13,5379853415,nature,/data2/wangjinhong/data/ord_reg/aesthetics/5379853415.jpg,nature,0
14,8025672960,people,/data2/wangjinhong/data/ord_reg/aesthetics/8025672960.jpg,people,0
15,13212044,people,/data2/wangjinhong/data/ord_reg/aesthetics/13212044.jpg,people,0
16,1275759896,animals,/data2/wangjinhong/data/ord_reg/aesthetics/1275759896.jpg,animals,0
17,6129879012,people,/data2/wangjinhong/data/ord_reg/aesthetics/6129879012.jpg,people,0
18,7005820027,people,/data2/wangjinhong/data/ord_reg/aesthetics/7005820027.jpg,people,0
19,4462934537,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4462934537.jpg,urban,0
20,8530514,nature,/data2/wangjinhong/data/ord_reg/aesthetics/8530514.jpg,nature,0
21,2677417735,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2677417735.jpg,nature,0
22,371418158,people,/data2/wangjinhong/data/ord_reg/aesthetics/371418158.jpg,people,0
23,5759258,people,/data2/wangjinhong/data/ord_reg/aesthetics/5759258.jpg,people,0
24,122050933,people,/data2/wangjinhong/data/ord_reg/aesthetics/122050933.jpg,people,0
25,7929181966,urban,/data2/wangjinhong/data/ord_reg/aesthetics/7929181966.jpg,urban,0
26,6800541023,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6800541023.jpg,urban,0
27,3120128855,people,/data2/wangjinhong/data/ord_reg/aesthetics/3120128855.jpg,people,0
28,2570962414,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2570962414.jpg,nature,0
29,2456518228,people,/data2/wangjinhong/data/ord_reg/aesthetics/2456518228.jpg,people,0
30,7250975178,people,/data2/wangjinhong/data/ord_reg/aesthetics/7250975178.jpg,people,0
31,2846880374,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2846880374.jpg,animals,0
32,11060554,urban,/data2/wangjinhong/data/ord_reg/aesthetics/11060554.jpg,urban,0
33,582578106,urban,/data2/wangjinhong/data/ord_reg/aesthetics/582578106.jpg,urban,0
34,343167590,nature,/data2/wangjinhong/data/ord_reg/aesthetics/343167590.jpg,nature,0
35,2390685014,people,/data2/wangjinhong/data/ord_reg/aesthetics/2390685014.jpg,people,0
36,2964902415,people,/data2/wangjinhong/data/ord_reg/aesthetics/2964902415.jpg,people,0
37,3361232942,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3361232942.jpg,animals,0
38,235634565,nature,/data2/wangjinhong/data/ord_reg/aesthetics/235634565.jpg,nature,0
39,6195832079,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6195832079.jpg,nature,0
40,158489361,nature,/data2/wangjinhong/data/ord_reg/aesthetics/158489361.jpg,nature,0
41,5398709540,nature,/data2/wangjinhong/data/ord_reg/aesthetics/5398709540.jpg,nature,0
42,8056285496,people,/data2/wangjinhong/data/ord_reg/aesthetics/8056285496.jpg,people,0
43,5910222830,people,/data2/wangjinhong/data/ord_reg/aesthetics/5910222830.jpg,people,0
44,4073115802,people,/data2/wangjinhong/data/ord_reg/aesthetics/4073115802.jpg,people,0
45,3470325936,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3470325936.jpg,animals,0
46,4473751337,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4473751337.jpg,urban,0
47,6953057698,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6953057698.jpg,nature,0
48,4303123230,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4303123230.jpg,urban,0
49,3966637670,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3966637670.jpg,nature,0
50,8076043429,nature,/data2/wangjinhong/data/ord_reg/aesthetics/8076043429.jpg,nature,0
51,6284138134,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6284138134.jpg,urban,0
52,178446716,people,/data2/wangjinhong/data/ord_reg/aesthetics/178446716.jpg,people,0
53,8100850642,people,/data2/wangjinhong/data/ord_reg/aesthetics/8100850642.jpg,people,0
54,6584141209,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6584141209.jpg,nature,0
55,6555797705,people,/data2/wangjinhong/data/ord_reg/aesthetics/6555797705.jpg,people,0
56,3466586479,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3466586479.jpg,nature,0
57,4267741166,people,/data2/wangjinhong/data/ord_reg/aesthetics/4267741166.jpg,people,0
58,4103023418,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4103023418.jpg,urban,0
59,6937327822,people,/data2/wangjinhong/data/ord_reg/aesthetics/6937327822.jpg,people,0
60,2684009755,people,/data2/wangjinhong/data/ord_reg/aesthetics/2684009755.jpg,people,0
61,3296910183,people,/data2/wangjinhong/data/ord_reg/aesthetics/3296910183.jpg,people,0
62,3336949073,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3336949073.jpg,nature,0
63,3211881282,people,/data2/wangjinhong/data/ord_reg/aesthetics/3211881282.jpg,people,0
64,4657541160,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4657541160.jpg,nature,0
65,2943385606,animals,/data2/wangjinhong/data/ord_reg/aesthetics/2943385606.jpg,animals,0
66,346483297,urban,/data2/wangjinhong/data/ord_reg/aesthetics/346483297.jpg,urban,0
67,3104660351,animals,/data2/wangjinhong/data/ord_reg/aesthetics/3104660351.jpg,animals,0
68,5381223983,nature,/data2/wangjinhong/data/ord_reg/aesthetics/5381223983.jpg,nature,0
69,6845661587,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6845661587.jpg,urban,0
70,7705472248,urban,/data2/wangjinhong/data/ord_reg/aesthetics/7705472248.jpg,urban,0
71,2342422428,people,/data2/wangjinhong/data/ord_reg/aesthetics/2342422428.jpg,people,0
72,3621011057,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3621011057.jpg,nature,0
73,5584430423,nature,/data2/wangjinhong/data/ord_reg/aesthetics/5584430423.jpg,nature,0
74,3475579719,people,/data2/wangjinhong/data/ord_reg/aesthetics/3475579719.jpg,people,0
75,6215441151,animals,/data2/wangjinhong/data/ord_reg/aesthetics/6215441151.jpg,animals,0
76,2065313249,nature,/data2/wangjinhong/data/ord_reg/aesthetics/2065313249.jpg,nature,0
77,4407677792,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4407677792.jpg,nature,0
78,4089545777,nature,/data2/wangjinhong/data/ord_reg/aesthetics/4089545777.jpg,nature,0
79,3050108499,people,/data2/wangjinhong/data/ord_reg/aesthetics/3050108499.jpg,people,0
80,6840700257,urban,/data2/wangjinhong/data/ord_reg/aesthetics/6840700257.jpg,urban,0
81,3533478702,urban,/data2/wangjinhong/data/ord_reg/aesthetics/3533478702.jpg,urban,0
82,3384837129,people,/data2/wangjinhong/data/ord_reg/aesthetics/3384837129.jpg,people,0
83,8392915643,urban,/data2/wangjinhong/data/ord_reg/aesthetics/8392915643.jpg,urban,0
84,2788214851,people,/data2/wangjinhong/data/ord_reg/aesthetics/2788214851.jpg,people,0
85,7567719470,nature,/data2/wangjinhong/data/ord_reg/aesthetics/7567719470.jpg,nature,0
86,937631,nature,/data2/wangjinhong/data/ord_reg/aesthetics/937631.jpg,nature,0
87,4885637987,urban,/data2/wangjinhong/data/ord_reg/aesthetics/4885637987.jpg,urban,0
88,6727349015,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6727349015.jpg,nature,0
89,6132821813,nature,/data2/wangjinhong/data/ord_reg/aesthetics/6132821813.jpg,nature,0
90,2754858320,people,/data2/wangjinhong/data/ord_reg/aesthetics/2754858320.jpg,people,0
91,3782673280,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3782673280.jpg,nature,0
92,5889370198,people,/data2/wangjinhong/data/ord_reg/aesthetics/5889370198.jpg,people,0
93,3542675701,nature,/data2/wangjinhong/data/ord_reg/aesthetics/3542675701.jpg,nature,0
